Date,Sku,Orders
01.20.2020,1185597,1
01.20.2020,1185718,1
01.20.2020,1185746,1
01.20.2020,1185747,3
01.20.2020,1186335,2
01.21.2020,292400,1
01.21.2020,292402,1
01.21.2020,429635,1
01.21.2020,429638,1
01.21.2020,439591,1
01.21.2020,452482,1
01.21.2020,452507,1
01.21.2020,469971,1
01.21.2020,1185050,1
01.21.2020,1185467,1
01.21.2020,1185481,1
01.21.2020,1185715,1
01.21.2020,1185717,1
01.21.2020,30295,1
01.21.2020,30654,1
01.21.2020,53030,2
01.21.2020,53031,2
01.21.2020,123987,1
01.21.2020,292400,2
01.21.2020,396395,1
01.21.2020,429609,4
01.21.2020,429611,4
01.21.2020,429614,2
01.21.2020,429616,3
01.21.2020,429635,6
01.21.2020,429638,10
01.21.2020,439591,2
01.21.2020,441372,1
01.21.2020,452454,5
01.21.2020,452460,1
01.21.2020,452616,1
01.21.2020,452617,5
01.21.2020,478192,3
01.21.2020,503649,1
01.21.2020,503663,1
01.21.2020,506486,2
01.21.2020,521307,1
01.21.2020,527947,1
01.21.2020,527948,2
01.21.2020,527950,2
01.21.2020,1184990,1
01.21.2020,1185006,1
01.21.2020,1185049,1
01.21.2020,1185408,2
01.21.2020,1185412,2
01.21.2020,1185414,1
01.21.2020,1185416,1
01.21.2020,1185418,1
01.21.2020,1185420,2
01.21.2020,1185422,1
01.21.2020,1185503,1
01.21.2020,1185510,4
01.21.2020,1185512,2
01.21.2020,1185519,3
01.21.2020,1185521,1
01.21.2020,1185526,2
01.21.2020,1185534,1
01.21.2020,1185535,1
01.21.2020,1185597,2
01.21.2020,1185747,2
01.21.2020,1186332,2
01.21.2020,1186335,3
01.22.2020,123987,1
01.22.2020,127019,1
01.22.2020,221744,1
01.22.2020,221745,1
01.22.2020,291966,1
01.22.2020,429638,2
01.22.2020,444182,1
01.22.2020,444242,1
01.22.2020,447337,1
01.22.2020,447338,1
01.22.2020,1184891,1
01.22.2020,1185068,1
01.22.2020,1185461,1
01.22.2020,22213,1
01.22.2020,22436,1
01.22.2020,123987,6
01.22.2020,158972,1
01.22.2020,429609,2
01.22.2020,429611,3
01.22.2020,429614,4
01.22.2020,429616,5
01.22.2020,429635,2
01.22.2020,429638,6
01.22.2020,452454,1
01.22.2020,452588,1
01.22.2020,452616,3
01.22.2020,452617,7
01.22.2020,452619,1
01.22.2020,469969,3
01.22.2020,492318,1
01.22.2020,503643,2
01.22.2020,503645,2
01.22.2020,503649,2
01.22.2020,503663,2
01.22.2020,503664,1
01.22.2020,527948,1
01.22.2020,527950,1
01.22.2020,542331,1
01.22.2020,1184888,1
01.22.2020,1185408,1
01.22.2020,1185412,1
01.22.2020,1185416,1
01.22.2020,1185420,1
01.22.2020,1185491,2
01.22.2020,1185506,1
01.22.2020,1185510,1
01.22.2020,1185517,1
01.22.2020,1185534,2
01.22.2020,1185538,2
01.22.2020,1185595,1
01.22.2020,1185597,1
01.22.2020,1185599,1
01.22.2020,1185929,1
01.23.2020,282057,1
01.23.2020,292401,1
01.23.2020,452457,1
01.23.2020,469971,1
01.23.2020,503651,1
01.23.2020,503652,1
01.23.2020,503671,1
01.23.2020,521319,1
01.23.2020,521320,1
01.23.2020,521322,1
01.23.2020,22213,1
01.23.2020,30295,1
01.23.2020,118222,2
01.23.2020,123987,9
01.23.2020,292400,1
01.23.2020,292401,2
01.23.2020,396395,1
01.23.2020,412605,1
01.23.2020,429609,4
01.23.2020,429611,2
01.23.2020,429614,2
01.23.2020,429635,4
01.23.2020,429638,10
01.23.2020,440397,1
01.23.2020,441372,1
01.23.2020,452454,1
01.23.2020,452457,1
01.23.2020,452616,1
01.23.2020,452617,4
01.23.2020,469969,3
01.23.2020,492318,2
01.23.2020,503647,1
01.23.2020,503652,1
01.23.2020,503669,1
01.23.2020,503670,1
01.23.2020,506486,1
01.23.2020,521321,1
01.23.2020,527947,1
01.23.2020,527950,2
01.23.2020,1184934,1
01.23.2020,1185004,1
01.23.2020,1185410,1
01.23.2020,1185420,1
01.23.2020,1185512,1
01.23.2020,1185526,1
01.23.2020,1185534,2
01.23.2020,1185594,2
01.23.2020,1185595,2
01.23.2020,1185599,1
01.23.2020,1185746,2
01.23.2020,1186332,1
01.23.2020,1186333,1
01.24.2020,30798,1
01.24.2020,118219,1
01.24.2020,429633,1
01.24.2020,429638,1
01.24.2020,458557,1
01.24.2020,539416,1
01.24.2020,1185511,1
01.24.2020,1185750,1
01.24.2020,22213,2
01.24.2020,30654,1
01.24.2020,123987,6
01.24.2020,127079,1
01.24.2020,292400,1
01.24.2020,292401,5
01.24.2020,429609,2
01.24.2020,429611,2
01.24.2020,429614,2
01.24.2020,429616,1
01.24.2020,429617,1
01.24.2020,429635,10
01.24.2020,429638,9
01.24.2020,441372,3
01.24.2020,452454,3
01.24.2020,452459,1
01.24.2020,452588,1
01.24.2020,452594,1
01.24.2020,452601,1
01.24.2020,452612,1
01.24.2020,452616,1
01.24.2020,452617,4
01.24.2020,469969,1
01.24.2020,492318,1
01.24.2020,503647,1
01.24.2020,503649,1
01.24.2020,503652,1
01.24.2020,506485,2
01.24.2020,506486,1
01.24.2020,521317,1
01.24.2020,521319,1
01.24.2020,527949,1
01.24.2020,527950,3
01.24.2020,539416,1
01.24.2020,1184936,1
01.24.2020,1184990,1
01.24.2020,1184992,1
01.24.2020,1185410,1
01.24.2020,1185420,1
01.24.2020,1185510,1
01.24.2020,1185512,2
01.24.2020,1185526,1
01.24.2020,1185534,1
01.24.2020,1185594,1
01.24.2020,1185599,2
01.27.2020,16030,1
01.27.2020,22123,1
01.27.2020,22802,2
01.27.2020,30657,1
01.27.2020,221749,1
01.27.2020,301873,1
01.27.2020,429616,1
01.27.2020,429631,1
01.27.2020,429635,3
01.27.2020,494677,1
01.27.2020,503665,1
01.27.2020,503671,1
01.27.2020,527950,1
01.27.2020,1184894,1
01.27.2020,1185011,1
01.27.2020,1185414,4
01.27.2020,1185717,1
01.27.2020,13909,1
01.27.2020,22213,1
01.27.2020,22436,1
01.27.2020,28177,1
01.27.2020,30654,1
01.27.2020,120716,2
01.27.2020,292401,2
01.27.2020,429609,2
01.27.2020,429611,2
01.27.2020,429614,5
01.27.2020,429616,1
01.27.2020,429617,1
01.27.2020,429635,2
01.27.2020,429638,6
01.27.2020,441372,1
01.27.2020,452454,1
01.27.2020,452459,1
01.27.2020,452601,1
01.27.2020,452608,1
01.27.2020,452616,2
01.27.2020,452617,7
01.27.2020,452619,1
01.27.2020,469969,2
01.27.2020,478192,1
01.27.2020,500225,1
01.27.2020,503649,1
01.27.2020,503661,1
01.27.2020,503663,2
01.27.2020,503666,1
01.27.2020,503669,1
01.27.2020,527950,2
01.27.2020,1184893,1
01.27.2020,1185004,1
01.27.2020,1185006,1
01.27.2020,1185408,3
01.27.2020,1185410,2
01.27.2020,1185412,2
01.27.2020,1185420,2
01.27.2020,1185508,1
01.27.2020,1185510,1
01.27.2020,1185511,1
01.27.2020,1185521,2
01.27.2020,1185534,6
01.27.2020,1185535,1
01.27.2020,1185599,1
01.27.2020,1185714,2
01.27.2020,1185746,1
01.27.2020,1186332,3
01.27.2020,1186333,1
01.27.2020,1186334,1
01.28.2020,10027,1
01.28.2020,16030,2
01.28.2020,22213,1
01.28.2020,22822,1
01.28.2020,28625,1
01.28.2020,31362,1
01.28.2020,35926,1
01.28.2020,116065,1
01.28.2020,127079,1
01.28.2020,127166,1
01.28.2020,256604,1
01.28.2020,429635,3
01.28.2020,429638,1
01.28.2020,444182,1
01.28.2020,446048,1
01.28.2020,452597,1
01.28.2020,452617,1
01.28.2020,469971,2
01.28.2020,503659,1
01.28.2020,521319,1
01.28.2020,527949,1
01.28.2020,1184891,1
01.28.2020,1184894,1
01.28.2020,1184989,1
01.28.2020,1185457,1
01.28.2020,1185471,1
01.28.2020,1185717,2
01.28.2020,13909,1
01.28.2020,22015,1
01.28.2020,22213,1
01.28.2020,22436,2
01.28.2020,28177,2
01.28.2020,30295,2
01.28.2020,30654,1
01.28.2020,35844,1
01.28.2020,35926,1
01.28.2020,53030,1
01.28.2020,118222,2
01.28.2020,120489,1
01.28.2020,120716,1
01.28.2020,123987,8
01.28.2020,256604,1
01.28.2020,263305,1
01.28.2020,396395,1
01.28.2020,429609,8
01.28.2020,429611,4
01.28.2020,429614,7
01.28.2020,429616,4
01.28.2020,429638,5
01.28.2020,439591,1
01.28.2020,441372,1
01.28.2020,452454,2
01.28.2020,452455,1
01.28.2020,452457,1
01.28.2020,452459,1
01.28.2020,452590,1
01.28.2020,452612,2
01.28.2020,452616,1
01.28.2020,452617,8
01.28.2020,452619,1
01.28.2020,469969,3
01.28.2020,492318,1
01.28.2020,500225,2
01.28.2020,500227,2
01.28.2020,503643,2
01.28.2020,503647,1
01.28.2020,503649,1
01.28.2020,503650,1
01.28.2020,503652,1
01.28.2020,503663,3
01.28.2020,503664,1
01.28.2020,503670,1
01.28.2020,506485,3
01.28.2020,521319,1
01.28.2020,521321,2
01.28.2020,527949,1
01.28.2020,527950,2
01.28.2020,1184893,1
01.28.2020,1184936,1
01.28.2020,1184938,1
01.28.2020,1185014,1
01.28.2020,1185055,1
01.28.2020,1185360,1
01.28.2020,1185408,1
01.28.2020,1185410,1
01.28.2020,1185412,1
01.28.2020,1185508,1
01.28.2020,1185510,2
01.28.2020,1185511,2
01.28.2020,1185512,1
01.28.2020,1185534,1
01.28.2020,1185594,2
01.28.2020,1185595,2
01.28.2020,1185597,2
01.28.2020,1185599,3
01.28.2020,1185716,1
01.28.2020,1185746,1
01.28.2020,1186332,2
01.28.2020,1186333,2
01.28.2020,1186334,2
01.28.2020,1186335,2
01.28.2020,1186336,1
01.29.2020,22123,1
01.29.2020,26137,1
01.29.2020,31363,1
01.29.2020,43213,1
01.29.2020,72867,1
01.29.2020,429631,2
01.29.2020,429635,6
01.29.2020,452497,1
01.29.2020,452603,1
01.29.2020,452609,1
01.29.2020,458559,1
01.29.2020,521310,1
01.29.2020,521317,1
01.29.2020,521321,1
01.29.2020,1185520,1
01.29.2020,13909,1
01.29.2020,118222,1
01.29.2020,123987,2
01.29.2020,251044,1
01.29.2020,292400,1
01.29.2020,292401,1
01.29.2020,429609,3
01.29.2020,429611,3
01.29.2020,429614,3
01.29.2020,429633,1
01.29.2020,429638,4
01.29.2020,441372,2
01.29.2020,452454,1
01.29.2020,452588,1
01.29.2020,452601,1
01.29.2020,452616,2
01.29.2020,452617,2
01.29.2020,469969,1
01.29.2020,503643,4
01.29.2020,503645,1
01.29.2020,503661,3
01.29.2020,503663,2
01.29.2020,503664,1
01.29.2020,503666,1
01.29.2020,527949,1
01.29.2020,1185408,1
01.29.2020,1185410,3
01.29.2020,1185412,1
01.29.2020,1185416,1
01.29.2020,1185420,1
01.29.2020,1185508,3
01.29.2020,1185510,1
01.29.2020,1185511,1
01.29.2020,1185512,3
01.29.2020,1185521,1
01.29.2020,1185534,1
01.29.2020,1185535,1
01.29.2020,1185594,4
01.29.2020,1185597,1
01.29.2020,1185599,2
01.29.2020,1186334,1
01.29.2020,1186335,1
01.30.2020,22123,1
01.30.2020,23486,1
01.30.2020,35309,1
01.30.2020,158973,1
01.30.2020,301873,1
01.30.2020,389802,1
01.30.2020,411573,1
